id_gmina,nazwa
345,Zalesie
346,Biała Podlaska
347,Aleksandrów
348,Biłgoraj
349,Biłgoraj
350,Biszcza
351,Frampol
352,Goraj
353,Józefów
354,Księżpol
355,Łukowa
356,Obsza
357,Potok Górny
358,Tarnogród
359,Tereszpol
360,Turobin
361,Chełm
362,Białopole
363,Chełm
364,Dorohusk
365,Dubienka
366,Kamień
367,Leśniowice
368,Rejowiec
369,Rejowiec Fabryczny
370,Rejowiec Fabryczny
371,Ruda-Huta
372,Sawin
373,Siedliszcze
374,Wierzbica
375,Wojsławice
376,Żmudź
377,Dołhobyczów
378,Horodło
379,Hrubieszów
380,Hrubieszów
381,Mircze
382,Trzeszczany
383,Uchanie
384,Werbkowice
385,Batorz
386,Chrzanów
387,Dzwola
388,Godziszów
389,Janów Lubelski
390,Modliborzyce
391,Potok Wielki
392,Fajsławice
393,Gorzków
394,Izbica
395,Krasnystaw
396,Krasnystaw
397,Kraśniczyn
398,Łopiennik Górny
399,Rudnik
400,Siennica Różana
401,Żółkiewka
402,Annopol
403,Dzierzkowice
404,Gościeradów
405,Kraśnik
406,Kraśnik
407,Szastarka
408,Trzydnik Duży
409,Urzędów
410,Wilkołaz
411,Zakrzówek
412,Abramów
413,Firlej
414,Jeziorzany
415,Kamionka
416,Kock
417,Lubartów
418,Lubartów
419,Michów
420,Niedźwiada
421,Ostrów Lubelski
422,Ostrówek
423,Serniki
424,Uścimów
425,Bełżyce
426,Borzechów
427,Bychawa
428,Garbów
429,Głusk
430,Jabłonna
431,Jastków
432,Konopnica
433,Krzczonów
434,Niedrzwica Duża
435,Niemce
436,Strzyżewice
437,Wojciechów
438,Wólka
439,Wysokie
440,Zakrzew
441,Lublin
442,Cyców
443,Ludwin
444,Łęczna
445,Milejów
446,Puchaczów
447,Spiczyn
448,Adamów
449,Krzywda
450,Łuków
451,Łuków
452,Serokomla
453,Stanin
454,Stoczek Łukowski
455,Stoczek Łukowski
456,Trzebieszów
457,Wojcieszków
458,Wola Mysłowska
459,Chodel
460,Chodel
461,Józefów nad Wisłą
462,Józefów nad Wisłą
463,Karczmiska
464,Karczmiska
465,Łaziska
466,Łaziska
467,Opole Lubelskie
468,Opole Lubelskie
469,Poniatowa
470,Poniatowa
471,Wilków
472,Wilków
473,Dębowa Kłoda
474,Jabłoń
475,Milanów
476,Parczew
477,Podedwórze
478,Siemień
479,Sosnowica
480,Baranów
481,Janowiec
482,Kazimierz Dolny
483,Końskowola
484,Kurów
485,Markuszów
486,Nałęczów
487,Puławy
488,Puławy
489,Wąwolnica
490,Żyrzyn
491,Borki
492,Czemierniki
493,Kąkolewnica
494,Komarówka Podlaska
495,Radzyń Podlaski
496,Radzyń Podlaski
497,Ulan-Majorat
498,Wohyń
499,Dęblin
500,Kłoczew
501,Nowodwór
502,Ryki
503,Stężyca
504,Ułęż
505,Mełgiew
506,Mełgiew
507,Piaski
508,Piaski
509,Rybczewice
510,Rybczewice
511,Świdnik
512,Świdnik
513,Trawniki
514,Trawniki
515,Bełżec
516,Bełżec
517,Jarczów
518,Jarczów
519,Krynice
520,Krynice
521,Lubycza Królewska
522,Lubycza Królewska
523,Łaszczów
524,Łaszczów
525,Rachanie
526,Rachanie
527,Susiec
528,Susiec
529,Tarnawatka
530,Tarnawatka
531,Telatyn
532,Telatyn
533,Tomaszów Lubelski
534,Tomaszów Lubelski
535,Tomaszów Lubelski
536,Tomaszów Lubelski
537,Tyszowce
538,Tyszowce
539,Ulhówek
540,Ulhówek
541,Hanna
542,Hańsk
543,Stary Brus
544,Urszulin
545,Włodawa
546,Włodawa
547,Wola Uhruska
548,Wyryki
549,Adamów
550,Grabowiec
551,Komarów-Osada
552,Krasnobród
553,Łabunie
554,Miączyn
555,Nielisz
556,Radecznica
557,Sitno
558,Skierbieszów
559,Stary Zamość
560,Sułów
561,Szczebrzeszyn
562,Zamość
563,Zwierzyniec
564,Zamość
565,Bogdaniec
566,Deszczno
567,Kłodawa
568,Kostrzyn nad Odrą
569,Lubiszyn
570,Santok
571,Witnica
572,Gorzów Wielkopolski
573,Bobrowice
574,Bobrowice
575,Bytnica
576,Bytnica
577,Dąbie
578,Dąbie
579,Gubin
580,Gubin
581,Gubin
582,Gubin
583,Krosno Odrzańskie
